2024-11-30 11:16:28 - INFO - ========================================================================================================================================================================================================
2024-11-30 11:16:28 - INFO - Ablating LLAMBO (discriminative | full_context | Shuffle features: False) to tune RandomForest on digits with seed 1 / 1...
2024-11-30 11:16:28 - INFO - Task context: {'model': 'RandomForest', 'task': 'classification', 'tot_feats': 64, 'cat_feats': 0, 'num_feats': 64, 'n_classes': 10, 'metric': 'accuracy', 'lower_is_better': False, 'num_samples': 1437, 'hyperparameter_constraints': {'max_depth': ['int', 'linear', [1, 15]], 'max_features': ['float', 'logit', [0.01, 0.99]], 'min_impurity_decrease': ['float', 'linear', [0.0, 0.5]], 'min_samples_leaf': ['float', 'logit', [0.01, 0.49]], 'min_samples_split': ['float', 'logit', [0.01, 0.99]], 'min_weight_fraction_leaf': ['float', 'logit', [0.01, 0.49]]}}
2024-11-30 12:23:48 - INFO - [LLAMBO] Query time: 4032.1648
2024-11-30 12:23:48 - INFO - [LLAMBO | Ablation: full_context | Shuffle features: False] RUN COMPLETE, saved results to /Users/arina/Desktop/phd_project/LLAMBO/exp_prompt_ablation/results_discriminative/digits/RandomForest/full_context_unshuffled_feature_cot_500/...
2024-11-30 12:23:48 - INFO -     max_depth  max_features  ...        23        24
0           9      0.267459  ...  0.180485  0.065692
1           7      0.602079  ...       NaN       NaN
2           9      0.703320  ...       NaN       NaN
3          12      0.544787  ...       NaN       NaN
4           3      0.189256  ...       NaN       NaN
5          11      0.830000  ...       NaN       NaN
6          10      0.760000  ...       NaN       NaN
7          11      0.670000  ...       NaN       NaN
8          12      0.720000  ...       NaN       NaN
9          13      0.825000  ...       NaN       NaN
10         14      0.850000  ...       NaN       NaN
11         11      0.790000  ...       NaN       NaN
12         11      0.740000  ...       NaN       NaN
13          7      0.830000  ...       NaN       NaN
14         11      0.750000  ...       NaN       NaN
15         11      0.730000  ...       NaN       NaN
16         11      0.785000  ...       NaN       NaN
17         10      0.880000  ...       NaN       NaN
18         11      0.785000  ...       NaN       NaN
19         11      0.755000  ...       NaN       NaN
20         10      0.780000  ...       NaN       NaN
21         11      0.770000  ...       NaN       NaN
22         10      0.790000  ...       NaN       NaN
23         12      0.820000  ...       NaN       NaN
24         11      0.810000  ...       NaN       NaN
25         11      0.820000  ...       NaN       NaN
26         12      0.770000  ...       NaN       NaN
27         13      0.920000  ...       NaN       NaN
28         12      0.820000  ...       NaN       NaN
29         13      0.905000  ...       NaN       NaN

[30 rows x 33 columns]
2024-11-30 12:23:48 - INFO - ========================================================================================================================================================================================================
2024-11-30 12:23:48 - INFO - [LLAMBO | Ablation: full_context | Shuffle features: False] 1 evaluation runs complete!
